structure_id,lon,lat,country
x1,-92.31656,19.61575,Mexico
x2,-92.30031,19.60241,Mexico
x9,-92.24294,19.57507,Mexico
x10,-92.23874,19.56533,Mexico
x50,-92.21817,19.61102,Mexico
x51,-92.20367,19.5917,Mexico
x65,-92.062148,29.441888,Gulf of Mexico
x67,-91.920026,29.454477,Gulf of Mexico
x69,-91.871717,29.332617,Gulf of Mexico
x75,-91.753159,29.3790838,Gulf of Mexico
x78,-91.61751,29.190638,Gulf of Mexico
x82,-91.4727,28.97905,Gulf of Mexico
x83,-91.46957,28.43025,Gulf of Mexico
x84,-91.447123,29.061753,Gulf of Mexico
x86,-90.96802088,27.29220815,Gulf of Mexico
x87,-90.960878,28.95487,Gulf of Mexico
x92,-90.870788,29.0775171,Gulf of Mexico
x94,-90.84341326,29.02661698,Gulf of Mexico
x97,-90.667597,29.186708,Gulf of Mexico
x98,-90.62769572,29.10046741,Gulf of Mexico
x99,-90.518024,29.12086,Gulf of Mexico
x100,-90.513527,29.091652,Gulf of Mexico
x103,-90.508692,29.206186,Gulf of Mexico
x106,-90.50258268,29.11833956,Gulf of Mexico
x111,-90.491473,28.868157,Gulf of Mexico
x116,-90.483592,29.113595,Gulf of Mexico
x121,-90.480004,29.222418,Gulf of Mexico
x123,-90.353459,28.9288187,Gulf of Mexico
x129,-90.162671,29.047334,Gulf of Mexico
x130,-90.161532,28.9853322,Gulf of Mexico
x131,-90.03128299,28.94592967,Gulf of Mexico
x134,-89.98203,29.0981563,Gulf of Mexico
x138,-89.959322,28.9987752,Gulf of Mexico
x141,-89.797506,28.972737,Gulf of Mexico
x142,-89.773347,29.374246,Gulf of Mexico
x143,-89.77003,29.363401,Gulf of Mexico
x146,-89.71738326,28.94238901,Gulf of Mexico
x148,-89.70715225,28.9470627,Gulf of Mexico
x152,-89.544026,29.586402,Gulf of Mexico
x156,-89.51368429,29.41951708,Gulf of Mexico
x157,-89.51239308,29.57077331,Gulf of Mexico
x164,-89.50234356,29.42016621,Gulf of Mexico
x165,-89.4865071,29.53124277,Gulf of Mexico
x167,-89.452683,29.574596,Gulf of Mexico
x168,-89.403615,29.452738,Gulf of Mexico
x171,-89.390137,29.229527,Gulf of Mexico
x172,-89.388829,29.132365,Gulf of Mexico
x175,-89.337991,29.564472,Gulf of Mexico
x176,-89.32284888,29.12678385,Gulf of Mexico
x180,-89.266868,28.989076,Gulf of Mexico
x185,-89.09875707,29.28488671,Gulf of Mexico
x186,-89.087781,29.251247,Gulf of Mexico
x189,-89.082655,29.264317,Gulf of Mexico
x191,-89.076621,29.241096,Gulf of Mexico
x196,-89.06083,29.249849,Gulf of Mexico
x198,-89.054422,29.251845,Gulf of Mexico
x203,-89.045138,29.253332,Gulf of Mexico
x206,-88.934693,29.354547,Gulf of Mexico
x207,-88.497193,30.084782,Gulf of Mexico
x208,-87.781,29.229,Gulf of Mexico
x209,15.409,54.877,Baltic Sea
x210,15.421,54.876,Denmark
x211,48.80838203,29.68031042,Persian Gulf
x212,48.81004,29.65341,Iran (Islamic Republic of)
x213,48.84671219,29.65484426,Iran (Islamic Republic of)
x215,48.85867133,29.63810649,Persian Gulf
x216,51.89878,26.67312,Qatar
x217,52.04422,26.58785,Qatar
x218,100.54187747550706,11.723209647873835,
x219,100.70957763774038,7.535443890978772,
x220,101.26730556865957,8.859058271031591,
x221,101.27786205207316,10.52065425110462,
x222,101.29531983945266,9.075223331418098,
x223,101.30835932392976,9.078416205139495,
x224,101.30972804846851,9.12181368179713,
x225,101.31493627841616,9.037616935757145,
x226,101.3184341064064,9.168031625443035,
x227,101.34592098112664,8.630058397087517,
x228,101.38454730501148,7.944396966821562,
x229,101.40274140133744,9.6941041602545,
x230,101.4126087186194,9.287279943074848,
x231,101.41634515467317,10.078839327258407,
x232,101.58952565901666,8.935132014090621,
x233,101.7899582374186,8.238806950053737,
x234,102.2415307854944,9.935396730353986,
x235,102.61403631045548,7.494376001922934,
x236,102.98478,7.59081,Malaysia
x269,103.097521170556,7.16670833962023,
x270,103.2083419274608,7.007501920801083,
x271,103.41952672318578,7.133128895555237,
x272,103.58395430857924,5.903707206116716,
x273,103.60748498482236,7.258069969164992,
x274,103.64891029853358,5.735237981089843,
x275,103.80589912881014,7.204984437333549,
x276,103.904978997213,5.609473897292955,
x277,104.05565516954113,7.161667957972979,
x278,104.17794652431613,6.975698729329774,
x279,104.18895721613728,5.955795435891175,
x280,104.26165747071704,5.763442952920312,
x281,104.38332472030072,5.282877202900654,
x282,104.4362034612938,5.224698888726184,
x283,104.47487011418802,5.58587485323256,
x284,104.55770774964184,6.55078442211074,
x285,104.56832342485008,6.41428157366299,
x286,104.57920782735506,5.583164726870383,
x287,104.58536844425473,5.568070105911247,
x288,104.69456759202664,5.091997487451908,
x289,104.72572219592942,5.211003152044492,
x290,104.77327893259844,5.550480522631585,
x291,104.80746921023272,4.625711007802733,
x292,104.8919119001368,4.298521194508974,
x293,104.89656606664198,5.371741649965663,
x294,104.95479051625249,5.529223103093079,
x295,104.97654940395586,5.532594061854431,
x296,104.97845492628184,5.6469144555292345,
x297,104.97851586756204,5.135528949407817,
x298,104.98850596729828,5.530760451237629,
x299,105.02021113485053,6.128348723111356,
x300,105.02367318390108,5.5352561452372,
x301,105.0438237932088,5.64333058782701,
x302,105.10748092585968,4.14454580374643,
x303,105.18961405932296,5.410458262351479,
x304,105.20683075961657,5.005225098430188,
x305,105.20719641094682,4.9979768559684,
x306,105.20808192686032,5.501323512788333,
x307,105.2177917075892,5.433851050040418,
x308,105.2464609439607,5.0056192099267145,
x309,105.2482436173353,4.998410324585714,
x310,105.25818622647118,5.284989098576814,
x311,105.28900549201992,5.011533997337387,
x312,105.30383404393991,6.11900598227401,
x313,105.37901448776935,5.469627095925515,
x314,105.38011996448232,5.447866348318265,
x315,105.42967433477216,5.471691659736818,
x316,105.48979193520886,5.329285808300284,
x317,105.59515374261524,5.233409361232035,
x318,105.6718934979889,5.519699322443272,
x319,106.00254759980336,4.903849900565639,
x320,106.0434694987453,4.994378724901386,
x321,106.09574090378734,4.956861476250047,
x322,106.22692829096052,4.1643844868764734,
x323,106.32610971503507,4.328360313182834,
x324,106.46242890222533,4.047668815914823,
x325,106.47915498139702,4.068055830051595,
x326,106.7129304293678,4.456733313872442,